Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000153	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1	vverm_g6282.t1, vverm_g14095.t1, vverm_g14323.t2, vverm_g14323.t1, vverm_g4727.t2, vverm_g4727.t1, vverm_g7826.t1, vverm_g7826.t2, vverm_g8650.t1, vverm_g7649.t1, vverm_g8102.t1, vverm_g1341.t1, vverm_g1346.t1, vverm_g14193.t1, vverm_g15488.t1, vverm_g6010.t1
OG0000160	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1	vverm_g3191.t1, vverm_g3191.t2
OG0000160	acastellanii_g2497.t1, acastellanii_g1235.t1	vverm_g9783.t1
OG0000161	acastellanii_g2726.t1, acastellanii_g2740.t1	vverm_g2760.t1
OG0000161	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1	vverm_g13183.t1, vverm_g3254.t1, vverm_g9757.t1
OG0000162	acastellanii_g5170.t1	vverm_g1509.t3, vverm_g1509.t1, vverm_g7894.t1
OG0000162	acastellanii_g6076.t1	vverm_g3949.t1, vverm_g3949.t2, vverm_g144.t1
OG0000171	acastellanii_g14034.t1	vverm_g15650.t1
OG0000171	acastellanii_g6384.t1, acastellanii_g604.t1	vverm_g2344.t1
OG0000171	acastellanii_g11241.t2, acastellanii_g11241.t1	vverm_g591.t1
OG0000171	acastellanii_g5405.t1	vverm_g11232.t1
OG0000181	acastellanii_g9394.t1, acastellanii_g9394.t2, acastellanii_g14187.t2, acastellanii_g14187.t1, acastellanii_g12699.t1, acastellanii_g12694.t1, acastellanii_g669.t1	vverm_g2856.t1, vverm_g13822.t1, vverm_g2035.t2, vverm_g2035.t1, vverm_g172.t1
OG0000182	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1	vverm_g16829.t1, vverm_g10460.t1, vverm_g2731.t1
OG0000182	acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1	vverm_g14447.t1
OG0000191	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1	vverm_g1348.t1, vverm_g1348.t2
OG0000192	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1	vverm_g5558.t1, vverm_g9985.t1, vverm_g9500.t1
