Orthogroup	Duplications (all)	Duplications (50% support)
OG0000438	4	3
OG0000439	5	3
OG0000440	3	3
OG0000441	7	7
OG0000442	5	5
OG0000443	4	4
OG0000444	5	5
OG0000445	5	5
OG0000446	10	9
OG0000447	9	9
OG0000448	6	6
OG0000449	13	13
OG0000450	5	4
OG0000451	9	9
OG0000452	8	7
OG0000453	6	5
OG0000454	11	11
OG0000455	4	2
OG0000456	10	10
OG0000457	8	7
OG0000458	7	7
OG0000459	7	6
OG0000460	6	6
OG0000461	8	7
OG0000462	6	6
OG0000463	7	6
OG0000464	12	12
OG0000465	10	10
OG0000466	9	9
OG0000467	8	8
OG0000468	7	7
OG0000469	13	13
OG0000470	11	11
OG0000471	7	7
OG0000472	9	9
OG0000473	13	13
OG0000474	7	6
OG0000475	7	7
OG0000476	8	8
OG0000477	11	11
OG0000478	8	8
OG0000479	7	7
OG0000480	12	12
OG0000481	13	13
OG0000482	13	13
OG0000483	12	12
OG0000484	13	13
OG0000485	13	13
OG0000486	13	13
OG0000487	13	13
OG0000488	13	13
OG0000489	13	13
OG0000490	13	13
OG0000491	13	13
OG0000492	13	13
OG0000493	13	13
OG0000494	13	13
OG0000495	13	13
OG0000496	13	13
OG0000497	13	13
OG0000498	13	13
OG0000499	13	13
OG0000500	13	13
OG0000501	7	7
OG0000502	5	5
OG0000503	4	4
OG0000504	11	11
OG0000505	4	4
OG0000506	4	4
OG0000507	5	5
OG0000508	10	10
OG0000509	7	7
OG0000510	5	5
OG0000511	4	4
OG0000512	4	4
OG0000513	12	12
OG0000514	12	12
OG0000515	7	7
OG0000516	12	12
OG0000517	4	4
OG0000518	4	3
OG0000519	4	4
OG0000520	8	8
OG0000521	11	11
OG0000522	6	6
OG0000523	11	11
OG0000524	7	6
OG0000525	7	7
OG0000526	3	3
OG0000527	5	5
OG0000528	8	8
OG0000529	6	6
OG0000530	8	8
OG0000531	4	4
OG0000532	7	6
OG0000533	6	6
OG0000534	4	4
OG0000535	6	6
OG0000536	6	6
OG0000537	5	5
OG0000538	6	6
OG0000539	5	5
OG0000540	4	4
OG0000541	5	5
OG0000542	9	9
OG0000543	6	6
OG0000544	11	11
OG0000545	7	7
OG0000546	5	4
OG0000547	5	5
OG0000548	7	7
OG0000549	8	8
OG0000550	11	11
OG0000551	8	8
OG0000552	6	6
OG0000553	6	4
OG0000554	8	8
OG0000555	10	10
OG0000556	9	9
OG0000557	11	11
OG0000558	6	6
OG0000559	8	8
OG0000560	7	6
OG0000561	7	7
OG0000562	10	10
OG0000563	9	9
OG0000564	7	7
OG0000565	7	7
OG0000566	7	6
OG0000567	10	10
OG0000568	7	7
OG0000569	11	11
OG0000570	12	12
OG0000571	12	12
OG0000572	12	12
OG0000573	12	12
OG0000574	12	12
OG0000575	12	12
OG0000576	12	12
OG0000577	12	12
OG0000578	12	12
OG0000579	12	12
OG0000580	12	12
OG0000581	12	12
OG0000582	12	12
OG0000583	12	12
OG0000584	12	12
OG0000585	12	12
OG0000586	12	12
OG0000587	12	12
OG0000588	12	12
OG0000589	12	12
OG0000590	12	12
OG0000591	12	12
OG0000592	6	6
OG0000593	6	4
OG0000594	3	2
OG0000595	4	4
OG0000596	7	7
OG0000597	6	6
OG0000598	7	7
OG0000599	7	7
OG0000600	6	6
OG0000601	8	8
OG0000602	3	3
OG0000603	11	11
OG0000604	7	7
OG0000605	8	8
OG0000606	5	4
OG0000607	4	3
OG0000608	6	4
OG0000609	11	11
OG0000610	9	8
OG0000611	5	3
OG0000612	2	2
OG0000613	5	5
OG0000614	6	5
OG0000615	6	3
OG0000616	7	7
OG0000617	4	4
OG0000618	4	4
OG0000619	5	5
OG0000620	6	5
OG0000621	11	11
OG0000622	5	4
OG0000623	6	6
OG0000624	11	11
OG0000625	7	7
OG0000626	6	6
OG0000627	4	4
OG0000628	7	7
OG0000629	6	6
OG0000630	11	11
OG0000631	3	3
OG0000632	5	5
OG0000633	5	5
OG0000634	9	9
OG0000635	3	3
OG0000636	8	8
OG0000637	4	4
OG0000638	4	4
OG0000639	5	5
OG0000640	6	5
OG0000641	6	5
OG0000642	5	4
OG0000643	5	4
OG0000644	5	5
OG0000645	5	5
OG0000646	4	4
OG0000647	5	3
OG0000648	11	11
OG0000649	6	6
OG0000650	5	5
OG0000651	4	4
OG0000652	4	4
OG0000653	4	4
OG0000654	4	4
OG0000655	6	6
OG0000656	5	4
OG0000657	2	2
OG0000658	3	3
OG0000659	5	5
OG0000660	4	4
OG0000661	6	6
OG0000662	9	9
OG0000663	9	9
OG0000664	9	9
OG0000665	8	8
OG0000666	8	8
OG0000667	8	8
OG0000668	8	8
OG0000669	7	7
OG0000670	8	8
OG0000671	9	9
OG0000672	9	9
OG0000673	9	9
OG0000674	5	4
OG0000675	8	8
OG0000676	7	7
OG0000677	8	8
OG0000678	7	7
OG0000679	9	9
OG0000680	8	8
OG0000681	5	5
OG0000682	10	10
OG0000683	9	9
OG0000684	8	8
OG0000685	6	6
OG0000686	10	10
OG0000687	10	10
OG0000688	10	10
OG0000689	11	11
OG0000690	11	11
OG0000691	11	11
OG0000692	11	11
OG0000693	11	11
OG0000694	11	11
OG0000695	11	11
OG0000696	11	11
OG0000697	10	10
OG0000698	11	11
OG0000699	11	11
OG0000700	11	11
OG0000701	11	11
OG0000702	11	11
OG0000703	11	11
OG0000704	11	11
OG0000705	11	11
OG0000706	11	11
OG0000707	11	11
OG0000708	11	11
OG0000709	11	11
OG0000710	11	11
OG0000711	11	11
OG0000712	11	11
OG0000713	10	10
OG0000714	3	1
OG0000715	5	5
OG0000716	4	4
OG0000717	2	2
OG0000718	5	5
OG0000719	5	4
OG0000720	7	7
OG0000721	4	4
OG0000722	3	3
OG0000723	6	6
OG0000724	2	2
OG0000725	4	4
OG0000726	4	4
OG0000727	6	4
OG0000728	4	4
OG0000729	4	4
OG0000730	4	4
OG0000731	4	3
OG0000732	4	3
OG0000733	10	10
OG0000734	3	2
OG0000735	6	6
OG0000736	5	4
OG0000737	10	10
OG0000738	5	4
OG0000739	2	2
OG0000740	4	4
OG0000741	3	3
OG0000742	6	6
OG0000743	3	2
OG0000744	5	4
OG0000745	4	4
OG0000746	5	5
OG0000747	5	4
OG0000748	4	4
OG0000749	6	6
OG0000750	8	8
OG0000751	6	6
OG0000752	9	9
OG0000753	6	6
OG0000754	2	2
OG0000755	5	4
OG0000756	2	2
OG0000757	6	6
OG0000758	4	4
OG0000759	10	10
OG0000760	5	5
OG0000761	5	5
OG0000762	3	3
OG0000763	10	10
OG0000764	9	9
OG0000765	5	5
OG0000766	4	4
OG0000767	5	5
OG0000768	5	5
OG0000769	5	4
OG0000770	4	4
OG0000771	6	6
OG0000772	2	2
OG0000773	4	3
OG0000774	5	5
OG0000775	5	5
OG0000776	6	6
OG0000777	6	6
OG0000778	5	5
OG0000779	3	2
OG0000780	5	5
OG0000781	5	5
OG0000782	4	4
OG0000783	4	4
OG0000784	4	4
OG0000785	3	3
OG0000786	3	3
OG0000787	8	8
OG0000788	5	5
OG0000789	2	2
OG0000790	3	3
OG0000791	5	5
OG0000792	3	3
OG0000793	6	6
OG0000794	2	2
OG0000795	4	4
OG0000796	6	6
OG0000797	5	5
OG0000798	3	2
OG0000799	4	4
OG0000800	4	4
OG0000801	6	6
OG0000802	4	4
OG0000803	5	5
OG0000804	4	4
OG0000805	6	6
OG0000806	6	6
OG0000807	5	5
OG0000808	4	4
OG0000809	6	6
OG0000810	5	5
OG0000811	4	4
OG0000812	2	2
OG0000813	5	5
OG0000814	4	4
OG0000815	4	4
OG0000816	6	6
OG0000817	6	6
OG0000818	4	4
OG0000819	3	3
OG0000820	5	5
OG0000821	5	5
OG0000822	3	3
OG0000823	5	5
OG0000824	5	5
OG0000825	7	7
OG0000826	6	6
OG0000827	5	5
OG0000828	7	7
OG0000829	5	5
OG0000830	8	8
OG0000831	5	5
OG0000832	8	8
OG0000833	6	6
OG0000834	8	8
OG0000835	6	6
OG0000836	9	9
OG0000837	9	9
OG0000838	6	6
OG0000839	8	8
OG0000840	6	6
OG0000841	6	6
OG0000842	8	8
OG0000843	7	7
OG0000844	8	8
OG0000845	9	9
OG0000846	9	9
OG0000847	7	7
OG0000848	6	6
OG0000849	10	10
OG0000850	10	10
OG0000851	10	10
OG0000852	10	10
OG0000853	10	10
OG0000854	10	10
OG0000855	10	10
OG0000856	10	10
OG0000857	10	10
OG0000858	10	10
OG0000859	10	10
OG0000860	10	10
OG0000861	10	10
OG0000862	10	10
OG0000863	10	10
OG0000864	10	10
OG0000865	10	10
OG0000866	10	10
OG0000867	10	10
OG0000868	10	10
OG0000869	10	10
OG0000870	10	10
OG0000871	10	10
OG0000872	10	10
OG0000873	10	10
OG0000874	10	10
OG0000875	10	10
OG0000876	10	10
OG0000877	10	10
OG0000878	10	10
OG0000879	10	10
OG0000880	3	3
OG0000881	4	4
OG0000882	2	2
OG0000883	3	2
OG0000884	9	9
OG0000885	3	3
OG0000886	3	3
OG0000887	3	3
OG0000888	4	3
OG0000889	2	2
OG0000890	5	5
OG0000891	3	2
OG0000892	4	4
OG0000893	2	2
OG0000894	5	5
OG0000895	3	3
OG0000896	5	5
OG0000897	2	2
OG0000898	2	2
OG0000899	5	4
OG0000900	9	9
OG0000901	5	5
OG0000902	6	5
OG0000903	5	5
OG0000904	5	3
OG0000905	6	6
OG0000906	2	2
OG0000907	6	6
OG0000908	4	4
OG0000909	3	3
OG0000910	3	3
OG0000911	3	3
OG0000912	9	9
OG0000913	5	5
OG0000914	2	2
OG0000915	4	4
OG0000916	3	3
OG0000917	5	5
OG0000918	3	3
OG0000919	5	5
OG0000920	5	5
OG0000921	4	4
OG0000922	4	4
OG0000923	6	6
OG0000924	4	4
OG0000925	2	2
OG0000926	5	5
OG0000927	9	9
OG0000928	4	4
OG0000929	3	3
OG0000930	5	5
OG0000931	5	5
OG0000932	4	4
OG0000933	1	1
OG0000934	5	5
OG0000935	5	5
OG0000936	5	5
OG0000937	5	5
OG0000938	4	4
OG0000939	9	9
OG0000940	4	4
OG0000941	5	5
OG0000942	2	2
OG0000943	2	2
OG0000944	4	4
OG0000945	3	3
OG0000946	5	5
OG0000947	4	4
OG0000948	3	2
OG0000949	4	4
OG0000950	4	3
OG0000951	3	3
OG0000952	8	8
OG0000953	2	2
OG0000954	2	2
OG0000955	4	3
OG0000956	5	5
OG0000957	5	5
OG0000958	3	3
OG0000959	4	4
OG0000960	4	3
OG0000961	4	3
OG0000962	2	2
OG0000963	3	3
OG0000964	4	4
OG0000965	3	2
OG0000966	3	3
OG0000967	7	7
OG0000968	6	6
OG0000969	5	5
OG0000970	6	5
OG0000971	5	5
OG0000972	5	3
OG0000973	2	2
OG0000974	3	3
OG0000975	4	3
OG0000976	5	5
OG0000977	4	4
OG0000978	4	4
OG0000979	4	3
OG0000980	5	5
OG0000981	2	2
OG0000982	3	3
OG0000983	4	4
OG0000984	5	5
OG0000985	4	4
OG0000986	3	3
OG0000987	2	1
OG0000988	5	5
OG0000989	4	4
OG0000990	4	4
OG0000991	3	3
OG0000992	5	5
OG0000993	3	3
OG0000994	3	3
OG0000995	5	5
OG0000996	4	4
OG0000997	3	3
OG0000998	3	2
OG0000999	3	3
OG0001000	4	3
OG0001001	5	5
OG0001002	5	5
OG0001003	5	5
OG0001004	4	4
OG0001005	5	5
OG0001006	4	4
OG0001007	4	4
OG0001008	5	5
OG0001009	4	4
OG0001010	5	5
OG0001011	2	2
OG0001012	6	6
OG0001013	4	4
OG0001014	5	5
OG0001015	5	5
OG0001016	5	5
OG0001017	3	3
OG0001018	4	4
OG0001019	7	7
OG0001020	6	6
OG0001021	5	5
OG0001022	4	4
OG0001023	8	8
OG0001024	8	8
OG0001025	4	4
OG0001026	6	6
OG0001027	9	9
OG0001028	9	9
OG0001029	3	2
OG0001030	8	8
OG0001031	7	7
OG0001032	6	6
OG0001033	7	7
OG0001034	8	8
OG0001035	6	6
OG0001036	7	7
OG0001037	4	4
OG0001038	8	8
OG0001039	6	6
OG0001040	5	5
OG0001041	6	6
OG0001042	8	8
OG0001043	5	5
OG0001044	6	6
OG0001045	9	9
OG0001046	9	9
OG0001047	4	4
OG0001048	5	5
OG0001049	6	6
OG0001050	6	6
OG0001051	8	8
OG0001052	7	7
OG0001053	5	5
OG0001054	4	4
OG0001055	6	6
OG0001056	6	6
OG0001057	5	5
OG0001058	8	8
OG0001059	6	6
OG0001060	9	9
OG0001061	8	8
OG0001062	9	9
OG0001063	9	9
OG0001064	9	9
OG0001065	9	9
OG0001066	9	9
OG0001067	9	9
OG0001068	9	9
OG0001069	9	9
OG0001070	9	9
OG0001071	9	9
OG0001072	9	9
OG0001073	9	9
OG0001074	9	9
OG0001075	9	9
OG0001076	9	9
OG0001077	9	9
OG0001078	9	9
