Orthogroup	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker	Total
OG0000244	0	0	0	0	21	21
OG0000245	0	0	0	0	21	21
OG0000246	20	0	0	0	0	20
OG0000247	20	0	0	0	0	20
OG0000248	1	6	7	1	5	20
OG0000249	16	0	0	2	2	20
OG0000250	7	4	4	0	5	20
OG0000251	3	3	2	8	4	20
OG0000252	6	4	3	5	2	20
OG0000253	20	0	0	0	0	20
OG0000254	1	3	3	3	10	20
OG0000255	2	2	2	1	13	20
OG0000256	5	2	3	4	6	20
OG0000257	4	3	3	3	7	20
OG0000258	1	1	1	3	14	20
OG0000259	1	6	7	4	2	20
OG0000260	0	20	0	0	0	20
OG0000261	0	19	1	0	0	20
OG0000262	0	10	10	0	0	20
OG0000263	0	7	13	0	0	20
OG0000264	0	2	18	0	0	20
OG0000265	0	0	0	20	0	20
OG0000266	0	0	0	20	0	20
OG0000267	0	0	0	1	19	20
OG0000268	0	0	0	0	20	20
OG0000269	0	0	0	0	20	20
OG0000270	0	0	0	0	20	20
OG0000271	6	3	3	5	2	19
OG0000272	2	2	1	0	14	19
OG0000273	18	0	0	0	1	19
OG0000274	3	3	3	2	8	19
OG0000275	5	3	6	2	3	19
OG0000276	9	2	2	2	4	19
OG0000277	5	3	3	3	5	19
OG0000278	3	3	3	6	4	19
OG0000279	0	16	3	0	0	19
OG0000280	0	17	2	0	0	19
OG0000281	0	14	5	0	0	19
OG0000282	0	10	9	0	0	19
OG0000283	0	14	5	0	0	19
OG0000284	0	5	4	5	5	19
OG0000285	0	1	1	0	17	19
OG0000286	0	0	0	19	0	19
OG0000287	0	0	0	0	19	19
OG0000288	0	0	0	0	19	19
OG0000289	0	0	0	0	19	19
OG0000290	6	4	3	2	3	18
OG0000291	3	6	4	2	3	18
OG0000292	4	5	3	1	5	18
OG0000293	1	7	8	1	1	18
OG0000294	9	2	2	2	3	18
OG0000295	6	3	3	4	2	18
OG0000296	4	4	3	3	4	18
OG0000297	10	1	1	2	4	18
OG0000298	8	3	2	3	2	18
OG0000299	10	2	2	2	2	18
OG0000300	0	16	2	0	0	18
OG0000301	0	4	14	0	0	18
OG0000302	0	18	0	0	0	18
OG0000303	0	17	1	0	0	18
OG0000304	0	4	14	0	0	18
OG0000305	0	17	1	0	0	18
OG0000306	0	9	9	0	0	18
OG0000307	0	13	5	0	0	18
OG0000308	0	5	13	0	0	18
OG0000309	0	9	9	0	0	18
OG0000310	0	7	11	0	0	18
OG0000311	0	8	10	0	0	18
OG0000312	0	10	8	0	0	18
OG0000313	0	2	16	0	0	18
OG0000314	0	2	16	0	0	18
OG0000315	0	0	18	0	0	18
OG0000316	0	0	18	0	0	18
OG0000317	0	0	0	18	0	18
OG0000318	0	0	0	18	0	18
OG0000319	0	0	0	0	18	18
OG0000320	0	0	0	0	18	18
OG0000321	0	0	0	0	18	18
OG0000322	0	0	0	0	18	18
OG0000323	0	0	0	0	18	18
OG0000324	0	0	0	0	18	18
OG0000325	8	2	2	2	3	17
OG0000326	16	0	0	1	0	17
OG0000327	7	0	0	0	10	17
OG0000328	3	3	3	2	6	17
OG0000329	7	1	1	7	1	17
OG0000330	10	1	2	3	1	17
OG0000331	3	4	3	3	4	17
OG0000332	17	0	0	0	0	17
