Orthogroup	vvermcdc19_braker	acastellanii_braker
OG0000224	vverm_g9888.t1	acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1
OG0000226	vverm_g11657.t1	acastellanii_g10506.t1, acastellanii_g10506.t2
OG0000226	vverm_g13694.t1, vverm_g7520.t1, vverm_g3696.t1, vverm_g9738.t1, vverm_g3510.t1, vverm_g4084.t1	acastellanii_g12477.t1
OG0000226	vverm_g9737.t2, vverm_g9737.t1	acastellanii_g3777.t1
OG0000227	vverm_g106.t3	acastellanii_g2323.t1, acastellanii_g6551.t2
OG0000227	vverm_g7505.t1, vverm_g15296.t1, vverm_g13770.t1, vverm_g10944.t1, vverm_g12447.t1	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1
OG0000229	vverm_g11186.t1, vverm_g15344.t2, vverm_g15344.t1, vverm_g14531.t1, vverm_g12419.t1	acastellanii_g3986.t1, acastellanii_g3986.t2
OG0000230	vverm_g7166.t1, vverm_g15996.t1, vverm_g7647.t1	acastellanii_g3924.t1
OG0000231	vverm_g8295.t1, vverm_g8295.t2, vverm_g411.t1, vverm_g9959.t1	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1
OG0000232	vverm_g6198.t1, vverm_g6198.t2, vverm_g5688.t1, vverm_g1316.t1	acastellanii_g2850.t1
OG0000248	vverm_g1753.t1, vverm_g3532.t1, vverm_g12293.t1, vverm_g12294.t1, vverm_g9290.t1	acastellanii_g12983.t1
OG0000249	vverm_g6960.t1	acastellanii_g1901.t1, acastellanii_g9656.t1, acastellanii_g2595.t1, acastellanii_g3921.t1
